;derivative_mean;derivative_min;derivative_max
921;25.77;25.77;25.77
922;25.75;25.75;25.75
923;25.74;25.74;25.74
924;25.71;25.71;25.71
925;25.69;25.69;25.69
926;25.69;25.69;25.69
927;25.68;25.68;25.68
928;25.66;25.66;25.66
929;25.66;25.66;25.66
930;25.64;25.64;25.64
931;25.64;25.64;25.64
932;25.64;25.64;25.64
933;25.62;25.62;25.62
934;25.6;25.6;25.6
935;25.59;25.59;25.59
936;25.58;25.58;25.58
937;25.56;25.56;25.56
938;25.55;25.55;25.55
939;25.54;25.54;25.54
940;25.54;25.54;25.54
941;25.51;25.51;25.51
942;25.5;25.5;25.5
943;25.49;25.49;25.49
944;25.47;25.47;25.47
945;25.46;25.46;25.46
946;25.45;25.45;25.45
947;25.44;25.44;25.44
948;25.42;25.42;25.42
949;25.41;25.41;25.41
950;25.39;25.39;25.39
951;25.37;25.37;25.37
952;25.37;25.37;25.37
953;25.37;25.37;25.37
954;25.35;25.35;25.35
955;25.34;25.34;25.34
956;25.33;25.33;25.33
957;25.32;25.32;25.32
958;25.3;25.3;25.3
959;25.29;25.29;25.29
960;25.28;25.28;25.28
961;25.27;25.27;25.27
962;25.26;25.26;25.26
963;25.24;25.24;25.24
964;25.23;25.23;25.23
965;25.22;25.22;25.22
966;25.2;25.2;25.2
967;25.19;25.19;25.19
968;25.17;25.17;25.17
969;25.16;25.16;25.16
970;25.15;25.15;25.15
971;25.14;25.14;25.14
972;25.12;25.12;25.12
973;25.11;25.11;25.11
974;25.1;25.1;25.1
975;25.11;25.11;25.11
976;25.1;25.1;25.1
977;25.09;25.09;25.09
978;25.08;25.08;25.08
979;25.07;25.07;25.07
980;25.05;25.05;25.05
981;25.02;25.02;25.02
982;25.01;25.01;25.01
983;24.99;24.99;24.99
984;24.97;24.97;24.97
985;24.97;24.97;24.97
986;24.96;24.96;24.96
987;24.95;24.95;24.95
988;24.93;24.93;24.93
